Level                 Number of Fractions          (3n^2)/pi^2
177                                  9567             9522.874
178                                  9655             9630.781
179                                  9833             9739.296
180                                  9881             9848.419
181                                 10061             9958.150
182                                 10133            10068.489
183                                 10253            10179.435
184                                 10341            10290.990
185                                 10485            10403.153
186                                 10545            10515.923
187                                 10705            10629.301
188                                 10797            10743.288
189                                 10905            10857.882
190                                 10977            10973.084
191                                 11167            11088.894
192                                 11231            11205.312
193                                 11423            11322.338
194                                 11519            11439.972
195                                 11615            11558.214
196                                 11699            11677.064
197                                 11895            11796.521
198                                 11955            11916.587
199                                 12153            12037.261
200                                 12233            12158.542
201                                 12365            12280.431
202                                 12465            12402.929
203                                 12633            12526.034
204                                 12697            12649.747
205                                 12857            12774.068
206                                 12959            12898.997
207                                 13091            13024.534
208                                 13187            13150.679
209                                 13367            13277.432
210                                 13415            13404.793
211                                 13625            13532.761
212                                 13729            13661.338
213                                 13869            13790.522
214                                 13975            13920.315
215                                 14143            14050.715
216                                 14215            14181.723
217                                 14395            14313.340
218                                 14503            14445.564
219                                 14647            14578.396
220                                 14727            14711.836
221                                 14919            14845.884
222                                 14991            14980.540
223                                 15213            15115.803
224                                 15309            15251.675
225                                 15429            15388.155
226                                 15541            15525.242
227                                 15767            15662.938
228                                 15839            15801.241
229                                 16067            15940.153
230                                 16155            16079.672
231                                 16275            16219.799
232                                 16387            16360.534
233                                 16619            16501.877
234                                 16691            16643.828
235                                 16875            16786.387
236                                 16991            16929.554
237                                 17147            17073.329
238                                 17243            17217.711
239                                 17481            17362.702
240                                 17545            17508.301
241                                 17785            17654.507
242                                 17895            17801.321
243                                 18057            17948.744
244                                 18177            18096.774
245                                 18345            18245.412
246                                 18425            18394.658
247                                 18641            18544.512
248                                 18761            18694.974
249                                 18925            18846.044
250                                 19025            18997.722
251                                 19275            19150.008
252                                 19347            19302.901
253                                 19567            19456.403
254                                 19693            19610.512
255                                 19821            19765.230
256                                 19949            19920.555
257                                 20205            20076.489
258                                 20289            20233.030
259                                 20505            20390.179
260                                 20601            20547.936
261                                 20769            20706.301
262                                 20899            20865.274
263                                 21161            21024.855
264                                 21241            21185.044
265                                 21449            21345.840
266                                 21557            21507.245
267                                 21733            21669.258
268                                 21865            21831.878
269                                 22133            21995.107
270                                 22205            22158.943
271                                 22475            22323.387
272                                 22603            22488.439
273                                 22747            22654.099
274                                 22883            22820.368
275                                 23083            22987.244
276                                 23171            23154.727
277                                 23447            23322.819
278                                 23585            23491.519
279                                 23765            23660.827
280                                 23861            23830.742
281                                 24141            24001.266
282                                 24233            24172.397
283                                 24515            24344.137
284                                 24655            24516.484
285                                 24799            24689.439
286                                 24919            24863.003
287                                 25159            25037.174
288                                 25255            25211.953
289                                 25527            25387.340
290                                 25639            25563.335
291                                 25831            25739.937
292                                 25975            25917.148
293                                 26267            26094.967
294                                 26351            26273.393
295                                 26583            26452.428
296                                 26727            26632.070
297                                 26907            26812.321
298                                 27055            26993.179
299                                 27319            27174.645
300                                 27399            27356.720
301                                 27651            27539.402
302                                 27801            27722.692
303                                 28001            27906.590
304                                 28145            28091.096
305                                 28385            28276.209
306                                 28481            28461.931
307                                 28787            28648.261
308                                 28907            28835.198
309                                 29111            29022.744
310                                 29231            29210.897
311                                 29541            29399.659
312                                 29637            29589.028
313                                 29949            29779.005
314                                 30105            29969.590
315                                 30249            30160.783
316                                 30405            30352.584
317                                 30721            30544.993
318                                 30825            30738.010
319                                 31105            30931.635
320                                 31233            31125.868
321                                 31445            31320.708
322                                 31577            31516.157
323                                 31865            31712.213
324                                 31973            31908.878
325                                 32213            32106.150
326                                 32375            32304.030
327                                 32591            32502.519
328                                 32751            32701.615
329                                 33027            32901.319
330                                 33107            33101.631
331                                 33437            33302.551
332                                 33601            33504.078
333                                 33817            33706.214
334                                 33983            33908.958
335                                 34247            34112.310
336                                 34343            34316.269
337                                 34679            34520.837
338                                 34835            34726.012
339                                 35059            34931.795
340                                 35187            35138.186
341                                 35487            35345.186
342                                 35595            35552.793
343                                 35889            35761.008
344                                 36057            35969.831
345                                 36233            36179.262
346                                 36405            36389.300
347                                 36751            36599.947
348                                 36863            36811.202
349                                 37211            37023.064
350                                 37331            37235.535
351                                 37547            37448.613
352                                 37707            37662.300
353                                 38059            37876.594
354                                 38175            38091.496
355                                 38455            38307.007
356                                 38631            38523.125
357                                 38823            38739.851
358                                 39001            38957.185
359                                 39359            39175.126
360                                 39455            39393.676
361                                 39797            39612.834
362                                 39977            39832.600
363                                 40197            40052.973
364                                 40341            40273.955
365                                 40629            40495.544
366                                 40749            40717.741
367                                 41115            40940.547
368                                 41291            41163.960
369                                 41531            41387.981
370                                 41675            41612.610
371                                 41987            41837.847
372                                 42107            42063.692
373                                 42479            42290.145
374                                 42639            42517.206
375                                 42839            42744.874
376                                 43023            42973.151
377                                 43359            43202.036
378                                 43467            43431.528
379                                 43845            43661.628
380                                 43989            43892.337
381                                 44241            44123.653
382                                 44431            44355.577
383                                 44813            44588.109
384                                 44941            44821.249
385                                 45181            45054.997
386                                 45373            45289.353
387                                 45625            45524.317
388                                 45817            45759.889
389                                 46205            45996.068
390                                 46301            46232.856
391                                 46653            46470.252
392                                 46821            46708.255
393                                 47081            46946.866
394                                 47277            47186.086
395                                 47589            47425.913
396                                 47709            47666.348
397                                 48105            47907.391
398                                 48303            48149.042
399                                 48519            48391.301
400                                 48679            48634.168
